,date,avg_equity,avg_debt,avg_hybrid,index_nrml
44,2018-11-09,-7.07,1.36,-6.06,-9.38
45,2018-11-12,-7.64,1.31,-6.7,-10.26
46,2018-11-13,-7.34,1.44,-6.37,-9.4
47,2018-11-14,-7.3,1.58,-6.32,-9.45
48,2018-11-15,-7.05,1.51,-6.09,-9.11
49,2018-11-16,-7.19,1.42,-5.85,-8.55
50,2018-11-19,-6.97,1.52,-5.49,-7.85
51,2018-11-20,-7.91,1.54,-5.89,-8.77
52,2018-11-22,-8.23,1.78,-6.3,-9.88
53,2018-11-26,-8.1,1.8,-5.9,-9.01
54,2018-11-27,-7.77,1.8,-5.57,-8.52
55,2018-11-28,-8.41,2.11,-5.49,-8.15
56,2018-11-29,-7.77,2.27,-4.96,-7.04
57,2018-11-30,-7.36,2.29,-4.93,-6.88
58,2018-12-03,-7.33,2.27,-4.79,-6.82
59,2018-12-04,-7.41,2.51,-4.68,-6.94
60,2018-12-05,-8.58,3.0,-5.12,-7.68
61,2018-12-06,-10.09,3.1,-5.84,-9.24
62,2018-12-07,-10.11,2.99,-5.61,-8.45
63,2018-12-10,-11.87,2.68,-6.52,-10.21
64,2018-12-11,-9.92,2.93,-6.09,-9.69
65,2018-12-12,-7.65,3.46,-4.98,-8.07
66,2018-12-13,-7.28,3.51,-4.59,-7.61
67,2018-12-14,-7.11,3.4,-4.46,-7.49
68,2018-12-17,-6.79,3.38,-4.1,-6.78
69,2018-12-18,-6.44,3.85,-3.88,-6.61
70,2018-12-19,-5.16,4.44,-3.49,-6.11
71,2018-12-20,-5.44,4.27,-3.54,-6.24
72,2018-12-21,-6.42,4.25,-4.32,-7.93
73,2018-12-24,-7.29,4.27,-4.78,-8.71
74,2018-12-26,-7.3,4.4,-4.6,-8.14
75,2018-12-27,-7.05,4.36,-4.36,-7.71
76,2018-12-28,-6.09,3.96,-4.05,-7.03
77,2018-12-31,-5.64,4.07,-3.85,-7.0
78,2019-01-02,-6.19,4.12,-4.13,-7.6
79,2019-01-03,-6.82,3.92,-4.64,-8.63
80,2019-01-04,-6.22,3.87,-4.54,-8.16
81,2019-01-07,-6.56,3.77,-4.44,-7.78
82,2019-01-08,-5.75,3.95,-4.17,-7.52
83,2019-01-09,-5.57,3.92,-3.96,-7.07
84,2019-01-10,-5.48,3.92,-3.94,-7.35
85,2019-01-11,-5.79,3.93,-4.09,-7.58
86,2019-01-14,-6.13,4.16,-4.31,-8.07
87,2019-01-15,-5.72,4.04,-3.71,-6.8
88,2019-01-16,-5.81,3.92,-3.7,-6.77
89,2019-01-17,-6.28,3.95,-3.72,-6.64
90,2019-01-18,-6.99,3.91,-3.99,-6.62
91,2019-01-21,-7.45,4.02,-3.96,-6.15
92,2019-01-22,-7.76,4.15,-4.08,-6.49
93,2019-01-23,-8.35,4.02,-4.44,-7.27
94,2019-01-24,-8.58,4.09,-4.46,-7.11
95,2019-01-25,-9.58,4.16,-4.77,-7.7
96,2019-01-28,-11.28,4.22,-5.41,-8.72
97,2019-01-29,-11.06,4.27,-5.35,-8.8
98,2019-01-30,-10.14,4.22,-5.15,-8.81
99,2019-01-31,-9.48,4.45,-4.41,-7.27
100,2019-02-01,-9.64,4.1,-4.27,-6.74
101,2019-02-04,-10.18,4.04,-4.36,-6.58
102,2019-02-05,-10.33,4.13,-4.32,-6.39
103,2019-02-06,-9.81,4.25,-3.74,-5.29
104,2019-02-07,-9.14,4.47,-3.58,-5.23
105,2019-02-08,-10.34,4.46,-4.25,-6.31
106,2019-02-11,-11.47,4.5,-4.68,-6.78
107,2019-02-12,-11.98,4.48,-5.0,-7.27
108,2019-02-14,-12.94,4.65,-5.37,-8.0
109,2019-02-15,-13.79,4.52,-5.51,-8.19
110,2019-02-18,-14.66,4.52,-5.9,-8.9
111,2019-02-20,-13.9,4.7,-5.27,-8.09
112,2019-02-21,-13.06,4.68,-4.92,-7.63
113,2019-02-22,-12.49,4.5,-4.81,-7.61
114,2019-02-25,-11.77,4.59,-4.38,-6.85
115,2019-02-26,-12.11,4.6,-4.65,-7.24
116,2019-02-27,-11.87,4.34,-4.69,-7.48
117,2019-02-28,-11.26,4.59,-4.64,-7.6
118,2019-03-01,-10.14,4.68,-4.2,-6.99
119,2019-03-05,-8.2,4.76,-3.41,-5.93
120,2019-03-06,-7.6,4.78,-3.01,-5.37
121,2019-03-07,-7.68,4.8,-2.94,-5.33
122,2019-03-08,-7.78,4.9,-2.9,-5.52
123,2019-03-11,-6.18,4.99,-2.15,-4.39
124,2019-03-12,-5.7,5.05,-1.51,-3.25
125,2019-03-13,-6.01,5.07,-1.29,-2.9
126,2019-03-14,-6.03,5.24,-1.3,-2.89
127,2019-03-15,-5.82,5.31,-0.96,-2.17
128,2019-03-18,-6.06,5.48,-0.82,-1.87
129,2019-03-19,-5.71,5.49,-0.52,-1.27
130,2019-03-20,-6.06,5.6,-0.62,-1.37
131,2019-03-22,-6.52,5.84,-0.81,-1.91
132,2019-03-25,-7.57,6.14,-1.36,-2.79
133,2019-03-26,-6.27,6.15,-0.79,-1.69
134,2019-03-27,-5.78,6.16,-0.85,-2.02
135,2019-03-28,-4.9,6.33,-0.22,-0.95
136,2019-04-02,-3.93,6.64,0.65,0.28
137,2019-04-03,-4.77,6.64,0.26,-0.31
138,2019-04-04,-5.23,6.22,0.09,-0.71
139,2019-04-05,-4.66,6.16,0.38,-0.12
140,2019-04-08,-4.44,5.95,0.13,-0.65
